Using numba version 0.61.2
Using jax version 0.6.2
Using numpy version 1.26.4
Using pytorch version 2.7.1+cpu
Estimating repetitions...
Running 3096532 benchmarks...

Benchmarking finished
Computing statistics on result 32 runs...

benchmarks.chassis_odometry
===========================
Running on CPU

size          backend     calls     mean      stdev     min       25%       median    75%       max       Δ       
------------------------------------------------------------------------------------------------------------------
         256  numba       1,000,000  0.000021  0.000291  0.000006  0.000009  0.000010  0.000015  0.154492  2.839872
         256  numpy        100,000  0.000058  0.000075  0.000033  0.000043  0.000056  0.000062  0.008901  1.000000
         256  jax          100,000  0.000096  0.000072  0.000054  0.000080  0.000089  0.000101  0.004914  0.609106
         256  pytorch      100,000  0.000367  0.000141  0.000190  0.000274  0.000395  0.000418  0.023644  0.158629

       1,024  numba       1,000,000  0.000028  0.000316  0.000011  0.000015  0.000016  0.000023  0.120237  3.476037
       1,024  numpy        100,000  0.000098  0.000095  0.000068  0.000083  0.000096  0.000102  0.020660  1.000000
       1,024  jax          100,000  0.000157  0.000079  0.000092  0.000135  0.000148  0.000166  0.006587  0.626311
       1,024  pytorch      100,000  0.000392  0.000118  0.000214  0.000300  0.000420  0.000442  0.006994  0.250845

       4,096  numba        100,000  0.000058  0.000299  0.000032  0.000039  0.000041  0.000048  0.064883  4.459970
       4,096  numpy        100,000  0.000257  0.000072  0.000205  0.000241  0.000252  0.000264  0.007940  1.000000
       4,096  jax          100,000  0.000267  0.000110  0.000186  0.000239  0.000253  0.000274  0.015862  0.965536
       4,096  pytorch       10,000  0.000475  0.000128  0.000267  0.000386  0.000496  0.000522  0.005088  0.542065

      16,384  numba        100,000  0.000170  0.000425  0.000113  0.000131  0.000136  0.000145  0.095637  5.319975
      16,384  jax           10,000  0.000639  0.000136  0.000510  0.000588  0.000608  0.000635  0.004281  1.417183
      16,384  pytorch       10,000  0.000693  0.000122  0.000469  0.000613  0.000706  0.000736  0.004098  1.306358
      16,384  numpy         10,000  0.000906  0.000113  0.000753  0.000867  0.000897  0.000923  0.006428  1.000000

      65,536  numba         10,000  0.000601  0.000405  0.000444  0.000501  0.000520  0.000534  0.031706  5.861019
      65,536  pytorch       10,000  0.001635  0.000289  0.001405  0.001572  0.001614  0.001650  0.024654  2.153466
      65,536  jax           10,000  0.002448  0.000375  0.001955  0.002294  0.002367  0.002452  0.017880  1.438230
      65,536  numpy         10,000  0.003521  0.000530  0.003048  0.003371  0.003499  0.003556  0.042131  1.000000

     262,144  numba         10,000  0.002338  0.001421  0.001755  0.001966  0.002042  0.002091  0.077896  7.686865
     262,144  pytorch        1,000  0.007361  0.001545  0.005471  0.006311  0.006797  0.008017  0.016357  2.441090
     262,144  jax            1,000  0.008548  0.001397  0.006885  0.007869  0.008198  0.008622  0.024735  2.102009
     262,144  numpy          1,000  0.017969  0.001425  0.015848  0.017250  0.017771  0.018008  0.031777  1.000000

   1,048,576  numba          1,000  0.009024  0.003308  0.007102  0.007895  0.008121  0.008451  0.077748  7.727732
   1,048,576  pytorch        1,000  0.025652  0.001772  0.021868  0.024613  0.025301  0.026563  0.041396  2.718650
   1,048,576  jax              100  0.038945  0.003306  0.036231  0.037440  0.038052  0.038714  0.054407  1.790685
   1,048,576  numpy            100  0.069737  0.006551  0.062704  0.066717  0.069196  0.070244  0.126839  1.000000

   4,194,304  numba          1,000  0.035383  0.009300  0.029856  0.032199  0.033142  0.034426  0.156074  7.191772
   4,194,304  pytorch          100  0.100277  0.004869  0.091558  0.097773  0.099006  0.101174  0.122473  2.537624
   4,194,304  jax              100  0.143637  0.009262  0.131496  0.136010  0.141590  0.149185  0.169546  1.771592
   4,194,304  numpy            100  0.254466  0.007693  0.248006  0.250862  0.252227  0.254261  0.308324  1.000000

(time in wall seconds, less is better)
