benchmarks.equation_of_state
============================
Running on CPU

size          backend     calls     mean      stdev     min       25%       median    75%       max       Δ       
------------------------------------------------------------------------------------------------------------------
       4,096  numba        100,000     0.000     0.000     0.000     0.000     0.000     0.000     0.006     4.261
       4,096  jax          100,000     0.000     0.000     0.000     0.000     0.000     0.000     0.032     4.187
       4,096  taichi        10,000     0.001     0.000     0.000     0.000     0.000     0.001     0.012     1.994
       4,096  numpy         10,000     0.001     0.000     0.001     0.001     0.001     0.001     0.016     1.000
       4,096  pytorch       10,000     0.002     0.001     0.001     0.001     0.002     0.002     0.017     0.734

      16,384  jax           10,000     0.001     0.000     0.000     0.001     0.001     0.001     0.008     7.905
      16,384  numba         10,000     0.001     0.000     0.001     0.001     0.001     0.001     0.026     4.406
      16,384  taichi        10,000     0.002     0.000     0.001     0.001     0.002     0.002     0.014     3.130
      16,384  numpy          1,000     0.005     0.002     0.004     0.004     0.005     0.006     0.034     1.000
      16,384  pytorch        1,000     0.006     0.006     0.004     0.004     0.005     0.005     0.087     0.929

      65,536  jax           10,000     0.002     0.001     0.001     0.002     0.002     0.002     0.022    11.354
      65,536  numba          1,000     0.005     0.001     0.004     0.004     0.004     0.005     0.013     5.231
      65,536  taichi         1,000     0.005     0.001     0.005     0.005     0.005     0.005     0.016     4.756
      65,536  pytorch        1,000     0.024     0.007     0.018     0.020     0.022     0.024     0.111     1.030
      65,536  numpy          1,000     0.024     0.005     0.017     0.020     0.024     0.028     0.058     1.000

     262,144  jax            1,000     0.006     0.001     0.004     0.005     0.006     0.006     0.023    42.349
     262,144  numba          1,000     0.017     0.001     0.016     0.016     0.017     0.017     0.034    14.965
     262,144  taichi         1,000     0.018     0.002     0.017     0.017     0.018     0.018     0.049    14.058
     262,144  pytorch          100     0.127     0.021     0.108     0.114     0.124     0.133     0.269     1.993
     262,144  numpy            100     0.252     0.014     0.232     0.239     0.257     0.261     0.290     1.000

   1,048,576  jax            1,000     0.020     0.004     0.016     0.018     0.019     0.021     0.072    48.334
   1,048,576  numba            100     0.070     0.003     0.066     0.068     0.069     0.070     0.095    14.043
   1,048,576  taichi           100     0.070     0.002     0.066     0.069     0.070     0.071     0.076    13.922
   1,048,576  pytorch           10     0.540     0.029     0.507     0.514     0.531     0.569     0.591     1.809
   1,048,576  numpy             10     0.978     0.048     0.903     0.934     0.991     1.011     1.042     1.000

   4,194,304  jax              100     0.073     0.014     0.062     0.067     0.069     0.073     0.185    52.874
   4,194,304  numba            100     0.274     0.009     0.262     0.267     0.273     0.277     0.331    14.020
   4,194,304  taichi            10     0.276     0.004     0.269     0.273     0.276     0.279     0.283    13.898
   4,194,304  pytorch           10     2.218     0.140     2.040     2.098     2.193     2.312     2.483     1.730
   4,194,304  numpy             10     3.836     0.123     3.626     3.758     3.809     3.914     4.095     1.000
