Using jax version 0.6.2
Using numba version 0.61.2
Using pytorch version 2.7.1+cpu
Using numpy version 1.26.4
Estimating repetitions...
Running 1079632 benchmarks...

Benchmarking finished
Computing statistics on result 32 runs...

benchmarks.chassis_odometry
===========================
Running on CPU

size          backend     calls     mean      stdev     min       25%       median    75%       max       Δ       
------------------------------------------------------------------------------------------------------------------
         256  numba        100,000  0.000085  0.000056  0.000058  0.000073  0.000079  0.000086  0.003400  1.101422
         256  numpy        100,000  0.000093  0.000016  0.000063  0.000081  0.000094  0.000101  0.000573  1.000000
         256  jax          100,000  0.000126  0.000021  0.000100  0.000115  0.000123  0.000132  0.002371  0.740826
         256  pytorch      100,000  0.000181  0.000035  0.000129  0.000158  0.000174  0.000196  0.000659  0.515422

       1,024  numba        100,000  0.000101  0.000060  0.000065  0.000089  0.000096  0.000104  0.003499  1.451690
       1,024  numpy        100,000  0.000147  0.000017  0.000116  0.000135  0.000148  0.000155  0.000559  1.000000
       1,024  pytorch      100,000  0.000208  0.000036  0.000154  0.000185  0.000200  0.000223  0.000803  0.706770
       1,024  jax          100,000  0.000241  0.000029  0.000176  0.000224  0.000238  0.000253  0.001988  0.610676

       4,096  numba        100,000  0.000154  0.000073  0.000118  0.000139  0.000147  0.000156  0.006030  2.306876
       4,096  pytorch      100,000  0.000308  0.000037  0.000254  0.000284  0.000301  0.000323  0.001270  1.155776
       4,096  numpy         10,000  0.000356  0.000024  0.000323  0.000343  0.000356  0.000364  0.001939  1.000000
       4,096  jax           10,000  0.000466  0.000050  0.000373  0.000431  0.000465  0.000492  0.002162  0.765573

      16,384  numba         10,000  0.000367  0.000093  0.000227  0.000340  0.000353  0.000371  0.003133  3.271964
      16,384  pytorch       10,000  0.000717  0.000040  0.000655  0.000689  0.000713  0.000733  0.001567  1.675269
      16,384  jax           10,000  0.001009  0.000147  0.000816  0.000880  0.000928  0.001137  0.003136  1.190655
      16,384  numpy         10,000  0.001201  0.000024  0.001148  0.001185  0.001198  0.001213  0.001533  1.000000

      65,536  numba         10,000  0.001197  0.000125  0.000650  0.001152  0.001165  0.001215  0.003413  3.771454
      65,536  pytorch        1,000  0.002470  0.000522  0.002171  0.002227  0.002253  0.002378  0.005088  1.827645
      65,536  jax            1,000  0.002918  0.000549  0.002383  0.002478  0.002561  0.003598  0.005068  1.547199
      65,536  numpy          1,000  0.004514  0.000038  0.004423  0.004491  0.004508  0.004527  0.004810  1.000000

     262,144  numba          1,000  0.004153  0.000484  0.002399  0.004042  0.004395  0.004416  0.004636  4.398672
     262,144  pytorch        1,000  0.007984  0.000548  0.007630  0.007736  0.007788  0.007925  0.011338  2.288045
     262,144  jax            1,000  0.009368  0.001748  0.007690  0.008158  0.008502  0.009947  0.014194  1.949872
     262,144  numpy          1,000  0.018267  0.000152  0.017890  0.018159  0.018269  0.018361  0.019022  1.000000

   1,048,576  numba          1,000  0.012369  0.002399  0.008730  0.010531  0.011756  0.013226  0.017569  6.065814
   1,048,576  pytorch        1,000  0.030684  0.000618  0.030202  0.030403  0.030482  0.030652  0.035149  2.445091
   1,048,576  jax              100  0.034502  0.003285  0.031425  0.032693  0.033448  0.034502  0.048689  2.174548
   1,048,576  numpy            100  0.075026  0.000715  0.074174  0.074551  0.074686  0.075891  0.076893  1.000000

   4,194,304  numba            100  0.038888  0.002941  0.035881  0.037023  0.037996  0.039485  0.050328  7.999283
   4,194,304  pytorch          100  0.125007  0.001591  0.121648  0.123773  0.125075  0.126017  0.129347  2.488466
   4,194,304  jax              100  0.141408  0.006192  0.134975  0.137502  0.139763  0.142217  0.178010  2.199852
   4,194,304  numpy            100  0.311076  0.000948  0.309503  0.310423  0.310841  0.311377  0.314259  1.000000

(time in wall seconds, less is better)
