Using numpy version 1.26.4
Using pytorch version 2.7.1+cpu
Estimating repetitions...
Running 255214 benchmarks...

Benchmarking finished
Computing statistics on result 14 runs...

benchmarks.chassis_odometry
===========================
Running on CPU

size          backend     calls     mean      stdev     min       25%       median    75%       max       Δ       
------------------------------------------------------------------------------------------------------------------
         256  numpy        100,000  0.000075  0.000018  0.000060  0.000066  0.000069  0.000076  0.001574  1.000000
         256  pytorch       10,000  0.002135  0.000188  0.001787  0.002018  0.002087  0.002181  0.003214  0.035036

       1,024  numpy        100,000  0.000129  0.000019  0.000113  0.000119  0.000122  0.000130  0.001932  1.000000
       1,024  pytorch       10,000  0.002207  0.000187  0.001896  0.002089  0.002160  0.002256  0.003244  0.058285

       4,096  numpy         10,000  0.000339  0.000023  0.000318  0.000327  0.000331  0.000343  0.001567  1.000000
       4,096  pytorch       10,000  0.002428  0.000183  0.002124  0.002315  0.002382  0.002474  0.003595  0.139627

      16,384  numpy         10,000  0.001188  0.000033  0.001148  0.001165  0.001179  0.001202  0.002253  1.000000
      16,384  pytorch        1,000  0.003190  0.000180  0.002894  0.003079  0.003143  0.003241  0.004065  0.372595

      65,536  numpy          1,000  0.004532  0.000060  0.004413  0.004493  0.004514  0.004561  0.004922  1.000000
      65,536  pytorch        1,000  0.006055  0.000209  0.005715  0.005911  0.005999  0.006130  0.007151  0.748428

     262,144  numpy          1,000  0.018294  0.000203  0.017843  0.018141  0.018261  0.018422  0.019363  1.000000
     262,144  pytorch        1,000  0.018894  0.000375  0.018152  0.018609  0.018838  0.019118  0.021026  0.968229

   1,048,576  numpy            100  0.076001  0.000783  0.074505  0.075299  0.076060  0.076716  0.077983  1.000000
   1,048,576  pytorch          100  0.078830  0.001718  0.075523  0.077776  0.078580  0.079673  0.085891  0.964109

(time in wall seconds, less is better)
